Run,BioProject,BioSample,Source
ERR5766915,PRJEB44414,SAMEA8585715,soil metagenome
ERR5766914,PRJEB44414,SAMEA8585714,soil metagenome
ERR5766676,PRJEB44414,SAMEA8585693,soil metagenome
ERR5766674,PRJEB44414,SAMEA8585692,soil metagenome
ERR5766673,PRJEB44414,SAMEA8585691,soil metagenome
ERR5766672,PRJEB44414,SAMEA8585690,soil metagenome
ERR5766671,PRJEB44414,SAMEA8585689,soil metagenome
ERR5766670,PRJEB44414,SAMEA8585688,soil metagenome
ERR5762236,PRJEB44414,SAMEA8585650,soil metagenome
ERR5762234,PRJEB44414,SAMEA8585649,soil metagenome
ERR5762230,PRJEB44414,SAMEA8585648,soil metagenome
ERR5762228,PRJEB44414,SAMEA8585647,soil metagenome
ERR5762226,PRJEB44414,SAMEA8585646,soil metagenome
ERR5762216,PRJEB44414,SAMEA8585636,soil metagenome
ERR5762215,PRJEB44414,SAMEA8585635,soil metagenome
ERR5762214,PRJEB44414,SAMEA8585634,soil metagenome
ERR5762213,PRJEB44414,SAMEA8585633,soil metagenome
ERR5762212,PRJEB44414,SAMEA8585632,soil metagenome
ERR5762206,PRJEB44414,SAMEA8585626,soil metagenome
ERR5762205,PRJEB44414,SAMEA8585625,soil metagenome
ERR5762204,PRJEB44414,SAMEA8585624,soil metagenome
ERR5762203,PRJEB44414,SAMEA8585623,soil metagenome
ERR5762200,PRJEB44414,SAMEA8585620,soil metagenome
ERR5762199,PRJEB44414,SAMEA8585619,soil metagenome
ERR5761597,PRJEB44414,SAMEA8585618,soil metagenome
ERR5758133,PRJEB44414,SAMEA8585614,soil metagenome
ERR5758132,PRJEB44414,SAMEA8585613,soil metagenome
ERR5757926,PRJEB44414,SAMEA8585612,soil metagenome
ERR5757924,PRJEB44414,SAMEA8585611,soil metagenome
ERR5757923,PRJEB44414,SAMEA8585610,soil metagenome
ERR5757922,PRJEB44414,SAMEA8585609,soil metagenome
ERR5757776,PRJEB44414,SAMEA8585604,soil metagenome
ERR5757773,PRJEB44414,SAMEA8585603,soil metagenome
ERR5757737,PRJEB44414,SAMEA8585602,soil metagenome
ERR5757698,PRJEB44414,SAMEA8585598,soil metagenome
ERR5757697,PRJEB44414,SAMEA8585597,soil metagenome
ERR5757696,PRJEB44414,SAMEA8585596,soil metagenome
ERR5756921,PRJEB44414,SAMEA8585588,soil metagenome
ERR5756920,PRJEB44414,SAMEA8585587,soil metagenome
ERR5754036,PRJEB44414,SAMEA8585584,soil metagenome
ERR5754029,PRJEB44414,SAMEA8585583,soil metagenome
ERR5754023,PRJEB44414,SAMEA8585582,soil metagenome
ERR5754020,PRJEB44414,SAMEA8585581,soil metagenome
ERR5754007,PRJEB44414,SAMEA8585580,soil metagenome
ERR5754004,PRJEB44414,SAMEA8585579,soil metagenome
ERR5753969,PRJEB44414,SAMEA8585578,soil metagenome
ERR5753381,PRJEB44414,SAMEA8585568,soil metagenome
ERR5753375,PRJEB44414,SAMEA8585567,soil metagenome
ERR5750978,PRJEB44414,SAMEA8585548,soil metagenome
ERR5750922,PRJEB44414,SAMEA8585547,soil metagenome
ERR5750921,PRJEB44414,SAMEA8585546,soil metagenome
ERR5750510,PRJEB44414,SAMEA8585539,soil metagenome
ERR5749944,PRJEB44414,SAMEA8585538,soil metagenome
ERR5749943,PRJEB44414,SAMEA8585537,soil metagenome
ERR5749942,PRJEB44414,SAMEA8585536,soil metagenome
ERR5749940,PRJEB44414,SAMEA8585535,soil metagenome
ERR5749939,PRJEB44414,SAMEA8585534,soil metagenome
SRR16235685,PRJNA769424,SAMN22133373,soil metagenome
SRR16235686,PRJNA769424,SAMN22133373,soil metagenome
SRR5277367,PRJNA365730,SAMN06267852,soil metagenome
SRR5271170,PRJNA365853,SAMN06267850,soil metagenome
SRR5271169,PRJNA365729,SAMN06267851,soil metagenome
SRR5271168,PRJNA365852,SAMN06267849,soil metagenome
SRR5271167,PRJNA365851,SAMN06267848,soil metagenome
SRR5271166,PRJNA365849,SAMN06267846,soil metagenome
SRR5271165,PRJNA365848,SAMN06267845,soil metagenome
SRR5271163,PRJNA365850,SAMN06267847,soil metagenome
SRR5271157,PRJNA365847,SAMN06267844,soil metagenome
SRR5271156,PRJNA365845,SAMN06267842,soil metagenome
SRR5271155,PRJNA365846,SAMN06267843,soil metagenome
SRR5271154,PRJNA365844,SAMN06267841,soil metagenome
SRR5208337,PRJNA365562,SAMN06266323,soil metagenome
SRR5208283,PRJNA365561,SAMN06266322,soil metagenome
SRR5208282,PRJNA365560,SAMN06264539,soil metagenome
SRR1765858,PRJNA222786,SAMN02376732,soil metagenome
SRR1157615,PRJNA221719,SAMN02364455,soil metagenome
SRR1157614,PRJNA221719,SAMN02364454,soil metagenome
SRR1157609,PRJNA221719,SAMN02364458,soil metagenome
SRR1010317,PRJNA215012,SAMN02316117,soil metagenome
ERR4298338,PRJEB39100,SAMEA7020035,plant metagenome
SRR6960541,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960542,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960543,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960544,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960545,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960546,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960547,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6960548,PRJNA443726,SAMN08778866,permafrost metagenome
SRR6505091,PRJNA406796,SAMN07631792,permafrost metagenome
SRR6491179,PRJNA406794,SAMN07631790,permafrost metagenome
SRR6490523,PRJNA406793,SAMN07631789,permafrost metagenome
SRR6490520,PRJNA406792,SAMN07631788,permafrost metagenome
SRR23247659,PRJNA386568,SAMN32901078,peat metagenome
SRR23247659,PRJNA386568,SAMN32901078,peat metagenome
SRR23247660,PRJNA386568,SAMN32901077,peat metagenome
SRR23247661,PRJNA386568,SAMN32901076,peat metagenome
SRR23247662,PRJNA386568,SAMN32901075,peat metagenome
SRR23247663,PRJNA386568,SAMN32901074,peat metagenome
SRR23247664,PRJNA386568,SAMN32901073,peat metagenome
SRR23247665,PRJNA386568,SAMN32901072,peat metagenome
SRR23247666,PRJNA386568,SAMN32901071,peat metagenome
SRR23247667,PRJNA386568,SAMN32901070,peat metagenome
SRR23247668,PRJNA386568,SAMN32901069,peat metagenome
SRR23247684,PRJNA386568,SAMN32901029,peat metagenome
SRR23247693,PRJNA386568,SAMN32901021,peat metagenome
SRR23247694,PRJNA386568,SAMN32901020,peat metagenome
SRR23247695,PRJNA386568,SAMN32901019,peat metagenome
SRR23247697,PRJNA386568,SAMN32901018,peat metagenome
SRR23247698,PRJNA386568,SAMN32901017,peat metagenome
SRR23247699,PRJNA386568,SAMN32901016,peat metagenome
SRR23247700,PRJNA386568,SAMN32901015,peat metagenome
SRR23247701,PRJNA386568,SAMN32901014,peat metagenome
SRR23247702,PRJNA386568,SAMN32901013,peat metagenome
SRR23247703,PRJNA386568,SAMN32901012,peat metagenome
SRR23247704,PRJNA386568,SAMN32901011,peat metagenome
SRR23247705,PRJNA386568,SAMN32901010,peat metagenome
SRR23247706,PRJNA386568,SAMN32901009,peat metagenome
SRR23247708,PRJNA386568,SAMN32901008,peat metagenome
SRR23247724,PRJNA386568,SAMN32901044,peat metagenome
SRR23247725,PRJNA386568,SAMN32901043,peat metagenome
SRR23247726,PRJNA386568,SAMN32901042,peat metagenome
SRR23247727,PRJNA386568,SAMN32901041,peat metagenome
SRR23247728,PRJNA386568,SAMN32901040,peat metagenome
SRR23247729,PRJNA386568,SAMN32901039,peat metagenome
SRR23247731,PRJNA386568,SAMN32901038,peat metagenome
SRR23247732,PRJNA386568,SAMN32901037,peat metagenome
SRR23247733,PRJNA386568,SAMN32901036,peat metagenome
SRR23247734,PRJNA386568,SAMN32901035,peat metagenome
SRR23247735,PRJNA386568,SAMN32901034,peat metagenome
SRR23247736,PRJNA386568,SAMN32901033,peat metagenome
SRR23247737,PRJNA386568,SAMN32901032,peat metagenome
SRR23247738,PRJNA386568,SAMN32901031,peat metagenome
SRR23247739,PRJNA386568,SAMN32901030,peat metagenome
SRR23247753,PRJNA386568,SAMN32901116,peat metagenome
SRR23247754,PRJNA386568,SAMN32901115,peat metagenome
SRR23247755,PRJNA386568,SAMN32901114,peat metagenome
SRR23247756,PRJNA386568,SAMN32901113,peat metagenome
SRR23247757,PRJNA386568,SAMN32901112,peat metagenome
SRR23247758,PRJNA386568,SAMN32901111,peat metagenome
SRR23247759,PRJNA386568,SAMN32901110,peat metagenome
SRR23247761,PRJNA386568,SAMN32901109,peat metagenome
SRR23247762,PRJNA386568,SAMN32901108,peat metagenome
SRR23247763,PRJNA386568,SAMN32901107,peat metagenome
SRR23247764,PRJNA386568,SAMN32901106,peat metagenome
SRR23247765,PRJNA386568,SAMN32901105,peat metagenome
SRR23247791,PRJNA386568,SAMN32901080,peat metagenome
SRR23247792,PRJNA386568,SAMN32901079,peat metagenome
SRR13557791,PRJNA695060,SAMN17600081,peat metagenome
SRR13557793,PRJNA695060,SAMN17600062,peat metagenome
SRR13557795,PRJNA695060,SAMN17600041,peat metagenome
SRR11668419,PRJNA621652,SAMN14515559,peat metagenome
SRR11668400,PRJNA621651,SAMN14515648,peat metagenome
SRR11668386,PRJNA621650,SAMN14515341,peat metagenome
SRR11070432,PRJNA567020,SAMN12794184,peat metagenome
SRR10968283,PRJNA566922,SAMN12794269,peat metagenome
SRR10968282,PRJNA566921,SAMN12794267,peat metagenome
SRR10968218,PRJNA567023,SAMN12794181,peat metagenome
SRR10968162,PRJNA567021,SAMN12794268,peat metagenome
SRR10968150,PRJNA567118,SAMN12794185,peat metagenome
SRR10873275,PRJNA566936,SAMN12794096,peat metagenome
SRR10873274,PRJNA566935,SAMN12794338,peat metagenome
SRR10873268,PRJNA566937,SAMN12793973,peat metagenome
SRR10873265,PRJNA568277,SAMN12794949,peat metagenome
SRR10873211,PRJNA566934,SAMN12793949,peat metagenome
SRR9711196,PRJNA539175,SAMN11532137,peat metagenome
SRR9711195,PRJNA539174,SAMN11532580,peat metagenome
SRR6996009,PRJNA445426,SAMN08784152,peat metagenome
SRR6996010,PRJNA445426,SAMN08784154,peat metagenome
SRR6996011,PRJNA445426,SAMN08784153,peat metagenome
SRR6307338,PRJNA419081,SAMN08042462,peat metagenome
SRR6307339,PRJNA419081,SAMN08042462,peat metagenome
SRR5440535,PRJNA382698,SAMN06712534,peat metagenome
SRR5440534,PRJNA382698,SAMN06712535,peat metagenome
SRR5440533,PRJNA382698,SAMN06712536,peat metagenome
SRR5440532,PRJNA382698,SAMN06712537,peat metagenome
SRR5440531,PRJNA382698,SAMN06712538,peat metagenome
SRR5440530,PRJNA382698,SAMN06712539,peat metagenome
SRR5440529,PRJNA382698,SAMN06712540,peat metagenome
ERR9963795,PRJEB54621,SAMEA110295449,moss metagenome
ERR9963794,PRJEB54621,SAMEA110295448,moss metagenome
ERR9963793,PRJEB54621,SAMEA110295447,moss metagenome
ERR9963792,PRJEB54621,SAMEA110295446,moss metagenome
ERR9963791,PRJEB54621,SAMEA110295445,moss metagenome
ERR9963790,PRJEB54621,SAMEA110295444,moss metagenome
ERR9963789,PRJEB54621,SAMEA110295443,moss metagenome
ERR9963788,PRJEB54621,SAMEA110295442,moss metagenome
ERR9963787,PRJEB54621,SAMEA110295441,moss metagenome
ERR9963786,PRJEB54621,SAMEA110295440,moss metagenome
ERR9963785,PRJEB54621,SAMEA110295439,moss metagenome
ERR9963784,PRJEB54621,SAMEA110295438,moss metagenome
ERR9963783,PRJEB54621,SAMEA110295437,moss metagenome
ERR9963782,PRJEB54621,SAMEA110295436,moss metagenome
ERR9963781,PRJEB54621,SAMEA110295435,moss metagenome
ERR9963780,PRJEB54621,SAMEA110295434,moss metagenome
ERR9963779,PRJEB54621,SAMEA110295433,moss metagenome
ERR9963778,PRJEB54621,SAMEA110295432,moss metagenome
ERR9963777,PRJEB54621,SAMEA110295431,moss metagenome
ERR9963776,PRJEB54621,SAMEA110295430,moss metagenome
ERR9963775,PRJEB54621,SAMEA110295429,moss metagenome
ERR9963774,PRJEB54621,SAMEA110295428,moss metagenome
ERR9963773,PRJEB54621,SAMEA110295427,moss metagenome
ERR9963772,PRJEB54621,SAMEA110295426,moss metagenome
ERR9963771,PRJEB54621,SAMEA110295425,moss metagenome
ERR9963770,PRJEB54621,SAMEA110295424,moss metagenome
ERR9963769,PRJEB54621,SAMEA110295423,moss metagenome
ERR9963768,PRJEB54621,SAMEA110295422,moss metagenome
ERR9963767,PRJEB54621,SAMEA110295421,moss metagenome
ERR9963766,PRJEB54621,SAMEA110295420,moss metagenome
ERR9963765,PRJEB54621,SAMEA110295419,moss metagenome
ERR9963764,PRJEB54621,SAMEA110295418,moss metagenome
ERR9963763,PRJEB54621,SAMEA110295417,moss metagenome
ERR9963762,PRJEB54621,SAMEA110295416,moss metagenome
ERR9963761,PRJEB54621,SAMEA110295415,moss metagenome
ERR9963760,PRJEB54621,SAMEA110295414,moss metagenome
ERR9963759,PRJEB54621,SAMEA110295413,moss metagenome
ERR9963758,PRJEB54621,SAMEA110295412,moss metagenome
ERR9963757,PRJEB54621,SAMEA110295411,moss metagenome
ERR9963756,PRJEB54621,SAMEA110295410,moss metagenome
ERR9963755,PRJEB54621,SAMEA110295409,moss metagenome
ERR9963754,PRJEB54621,SAMEA110295408,moss metagenome
ERR9963753,PRJEB54621,SAMEA110295407,moss metagenome
ERR9963752,PRJEB54621,SAMEA110295406,moss metagenome
ERR9963751,PRJEB54621,SAMEA110295405,moss metagenome
ERR9963750,PRJEB54621,SAMEA110295404,moss metagenome
ERR9963749,PRJEB54621,SAMEA110295403,moss metagenome
ERR9963748,PRJEB54621,SAMEA110295402,moss metagenome
ERR9963747,PRJEB54621,SAMEA110295401,moss metagenome
SRR18693124,PRJNA820845,SAMN27025299,moss metagenome
SRR18693123,PRJNA820844,SAMN27025339,moss metagenome
SRR18693122,PRJNA820843,SAMN27025298,moss metagenome
SRR18693121,PRJNA820790,SAMN27025316,moss metagenome
SRR18693120,PRJNA820842,SAMN27025306,moss metagenome
SRR18693102,PRJNA820841,SAMN27025308,moss metagenome
SRR18686499,PRJNA820833,SAMN27025318,moss metagenome
SRR18686496,PRJNA820836,SAMN27025330,moss metagenome
SRR18686495,PRJNA820823,SAMN27025315,moss metagenome
SRR18686494,PRJNA820832,SAMN27025304,moss metagenome
SRR18686493,PRJNA820835,SAMN27025305,moss metagenome
SRR18686432,PRJNA820839,SAMN27025300,moss metagenome
SRR18686411,PRJNA820840,SAMN27025319,moss metagenome
SRR18686410,PRJNA820834,SAMN27025321,moss metagenome
SRR18686409,PRJNA820837,SAMN27025338,moss metagenome
SRR18686408,PRJNA820838,SAMN27025343,moss metagenome
SRR18686407,PRJNA820824,SAMN27025334,moss metagenome
SRR18686277,PRJNA820820,SAMN27025312,moss metagenome
SRR18686276,PRJNA820822,SAMN27025320,moss metagenome
SRR18686272,PRJNA820825,SAMN27025341,moss metagenome
SRR18686104,PRJNA820821,SAMN27025297,moss metagenome
SRR18685562,PRJNA820819,SAMN27025311,moss metagenome
SRR18685561,PRJNA820817,SAMN27025333,moss metagenome
SRR18685560,PRJNA820818,SAMN27025325,moss metagenome
SRR18685539,PRJNA820815,SAMN27025329,moss metagenome
SRR18685537,PRJNA820813,SAMN27025342,moss metagenome
SRR18685532,PRJNA820812,SAMN27025327,moss metagenome
SRR18685517,PRJNA820814,SAMN27025324,moss metagenome
SRR18685515,PRJNA820816,SAMN27025310,moss metagenome
SRR18685366,PRJNA820809,SAMN27025302,moss metagenome
SRR18685365,PRJNA820810,SAMN27025296,moss metagenome
SRR18685364,PRJNA820811,SAMN27025337,moss metagenome
SRR18679925,PRJNA820807,SAMN27025303,moss metagenome
SRR18679922,PRJNA820808,SAMN27025332,moss metagenome
SRR18649837,PRJNA820793,SAMN27025317,moss metagenome
SRR18649735,PRJNA820797,SAMN27025336,moss metagenome
SRR18649726,PRJNA820798,SAMN27025331,moss metagenome
SRR18649613,PRJNA820801,SAMN27025328,moss metagenome
SRR18649612,PRJNA820796,SAMN27025313,moss metagenome
SRR18649606,PRJNA820794,SAMN27025307,moss metagenome
SRR18649605,PRJNA820795,SAMN27025326,moss metagenome
SRR18649409,PRJNA820799,SAMN27025340,moss metagenome
SRR18649394,PRJNA820802,SAMN27025309,moss metagenome
SRR18649392,PRJNA820800,SAMN27025335,moss metagenome
SRR18649382,PRJNA820806,SAMN27025301,moss metagenome
SRR18649381,PRJNA820803,SAMN27025344,moss metagenome
SRR18649380,PRJNA820804,SAMN27025323,moss metagenome
SRR18649283,PRJNA820805,SAMN27025322,moss metagenome
SRR18649277,PRJNA820792,SAMN27025314,moss metagenome
SRR12172648,PRJNA644538,SAMN15464641,moss metagenome
SRR12172649,PRJNA644538,SAMN15464640,moss metagenome
ERR2190619,PRJEB23319,SAMEA104368474,metagenomes
ERR2190618,PRJEB23319,SAMEA104368473,metagenomes
ERR2190617,PRJEB23319,SAMEA104368472,metagenomes
ERR2190616,PRJEB23319,SAMEA104368471,metagenomes
ERR2190615,PRJEB23319,SAMEA104368470,metagenomes
ERR2190614,PRJEB23319,SAMEA104368469,metagenomes
ERR2190613,PRJEB23319,SAMEA104368468,metagenomes
ERR1078299,PRJEB11420,SAMEA3608631,metagenome
ERR1078298,PRJEB11420,SAMEA3608630,metagenome
ERR1078297,PRJEB11420,SAMEA3608629,metagenome
ERR1078296,PRJEB11420,SAMEA3608628,metagenome
ERR1078295,PRJEB11420,SAMEA3608627,metagenome
ERR1078294,PRJEB11420,SAMEA3608626,metagenome
ERR1078293,PRJEB11420,SAMEA3608625,metagenome
ERR1078292,PRJEB11420,SAMEA3608624,metagenome
ERR1078291,PRJEB11420,SAMEA3608623,metagenome
ERR1078290,PRJEB11420,SAMEA3608622,metagenome
ERR1078289,PRJEB11420,SAMEA3608621,metagenome
ERR1078288,PRJEB11420,SAMEA3608620,metagenome
ERR1078287,PRJEB11421,SAMEA3609450,metagenome
ERR1078286,PRJEB11421,SAMEA3609449,metagenome
ERR1078285,PRJEB11421,SAMEA3609448,metagenome
ERR1078284,PRJEB11421,SAMEA3609447,metagenome
ERR1078283,PRJEB11421,SAMEA3609446,metagenome
ERR1078282,PRJEB11421,SAMEA3609445,metagenome
ERR1078281,PRJEB11421,SAMEA3609444,metagenome
ERR1078280,PRJEB11421,SAMEA3609443,metagenome
ERR1078279,PRJEB11421,SAMEA3609442,metagenome
ERR1078278,PRJEB11421,SAMEA3609441,metagenome
ERR1078277,PRJEB11421,SAMEA3609440,metagenome
ERR1078276,PRJEB11421,SAMEA3609439,metagenome
ERR5005079,PRJEB42019,SAMEA7723740,lichen metagenome
ERR5005078,PRJEB42019,SAMEA7723552,lichen metagenome
ERR5005077,PRJEB42019,SAMEA7723551,lichen metagenome
ERR5004292,PRJEB42019,SAMEA7723740,lichen metagenome
ERR5004291,PRJEB42019,SAMEA7723552,lichen metagenome
ERR5004290,PRJEB42019,SAMEA7723551,lichen metagenome
ERR5003518,PRJEB42019,SAMEA7723740,lichen metagenome
ERR5003517,PRJEB42019,SAMEA7723552,lichen metagenome
ERR5003516,PRJEB42019,SAMEA7723551,lichen metagenome
ERR5002239,PRJEB42019,SAMEA7723740,lichen metagenome
ERR5002238,PRJEB42019,SAMEA7723552,lichen metagenome
ERR5002237,PRJEB42019,SAMEA7723551,lichen metagenome
SRR11607848,PRJNA621971,SAMN14515034,lake water metagenome
SRR11607847,PRJNA621972,SAMN14515726,lake water metagenome
SRR11286067,PRJNA610326,SAMN14297226,lake water metagenome
SRR11286066,PRJNA610325,SAMN14297259,lake water metagenome
SRR11286063,PRJNA610324,SAMN14297251,lake water metagenome
SRR11285887,PRJNA610323,SAMN14297239,lake water metagenome
SRR11285841,PRJNA610322,SAMN14297260,lake water metagenome
SRR11285840,PRJNA610321,SAMN14297240,lake water metagenome
SRR11285815,PRJNA610320,SAMN14297262,lake water metagenome
SRR11285593,PRJNA610319,SAMN14297252,lake water metagenome
SRR11285515,PRJNA610317,SAMN14297210,lake water metagenome
SRR11285500,PRJNA610313,SAMN14297261,lake water metagenome
SRR11285474,PRJNA610312,SAMN14297191,lake water metagenome
SRR11285473,PRJNA610314,SAMN14297241,lake water metagenome
SRR11285472,PRJNA610315,SAMN14297190,lake water metagenome
SRR11285470,PRJNA610316,SAMN14297189,lake water metagenome
SRR6476468,PRJNA368378,SAMN06269066,lake water metagenome
SRR6476446,PRJNA368377,SAMN06269065,lake water metagenome
ERR844266,PRJEB9021,SAMEA3325356,Homo sapiens
ERR844341,PRJEB9021,SAMEA3325431,Homo sapiens
SRR16191281,PRJNA733707,SAMN21988033,glacier metagenome
SRR16191298,PRJNA733707,SAMN21988017,glacier metagenome
SRR16190901,PRJNA733707,SAMN21987923,glacier metagenome
SRR6228043,PRJNA365752,SAMN07672174,freshwater metagenome
SRR6220868,PRJNA366707,SAMN06268626,freshwater metagenome
SRR6220867,PRJNA366706,SAMN06268625,freshwater metagenome
SRR6214541,PRJNA366369,SAMN06268471,freshwater metagenome
SRR6214538,PRJNA366368,SAMN06268470,freshwater metagenome
SRR5262285,PRJNA365920,SAMN06268022,freshwater metagenome
SRR5262283,PRJNA365919,SAMN06268021,freshwater metagenome
SRR5262281,PRJNA365918,SAMN06268020,freshwater metagenome
SRR5262280,PRJNA365916,SAMN06268018,freshwater metagenome
SRR5262256,PRJNA365917,SAMN06268019,freshwater metagenome
SRR5261474,PRJNA365914,SAMN06268016,freshwater metagenome
SRR5261473,PRJNA365915,SAMN06268017,freshwater metagenome
SRR5261471,PRJNA365909,SAMN06268011,freshwater metagenome
SRR5261470,PRJNA365913,SAMN06268015,freshwater metagenome
SRR5261469,PRJNA365912,SAMN06268014,freshwater metagenome
SRR5261468,PRJNA365910,SAMN06268012,freshwater metagenome
SRR5261467,PRJNA365911,SAMN06268013,freshwater metagenome
SRR5261044,PRJNA365908,SAMN06268010,freshwater metagenome
SRR5261043,PRJNA365907,SAMN06268009,freshwater metagenome
SRR5261042,PRJNA365906,SAMN06268008,freshwater metagenome
SRR5261041,PRJNA365904,SAMN06268006,freshwater metagenome
SRR5261040,PRJNA365905,SAMN06268007,freshwater metagenome
SRR5261039,PRJNA365903,SAMN06268005,freshwater metagenome
SRR5260933,PRJNA365898,SAMN06268000,freshwater metagenome
SRR5260932,PRJNA365895,SAMN06267997,freshwater metagenome
SRR5260931,PRJNA365899,SAMN06268001,freshwater metagenome
SRR5260930,PRJNA365897,SAMN06267999,freshwater metagenome
SRR5260929,PRJNA365894,SAMN06267996,freshwater metagenome
SRR5260928,PRJNA365901,SAMN06268003,freshwater metagenome
SRR5260927,PRJNA365896,SAMN06267998,freshwater metagenome
SRR5260926,PRJNA365902,SAMN06268004,freshwater metagenome
SRR5260925,PRJNA365900,SAMN06268002,freshwater metagenome
SRR5260897,PRJNA366959,SAMN06267989,freshwater metagenome
SRR5260896,PRJNA366956,SAMN06267986,freshwater metagenome
SRR5260895,PRJNA366961,SAMN06267991,freshwater metagenome
SRR5260894,PRJNA366957,SAMN06267987,freshwater metagenome
SRR5260893,PRJNA366960,SAMN06267990,freshwater metagenome
SRR5260892,PRJNA365893,SAMN06267995,freshwater metagenome
SRR5260891,PRJNA366958,SAMN06267988,freshwater metagenome
SRR5260890,PRJNA365891,SAMN06267993,freshwater metagenome
SRR5260889,PRJNA366962,SAMN06267992,freshwater metagenome
SRR5260843,PRJNA366954,SAMN06267984,freshwater metagenome
SRR5260842,PRJNA366952,SAMN06267982,freshwater metagenome
SRR5260840,PRJNA366950,SAMN06267980,freshwater metagenome
SRR5260838,PRJNA366947,SAMN06267977,freshwater metagenome
SRR5260837,PRJNA366951,SAMN06267981,freshwater metagenome
SRR5260836,PRJNA366953,SAMN06267983,freshwater metagenome
SRR5260835,PRJNA366948,SAMN06267978,freshwater metagenome
SRR5260834,PRJNA366955,SAMN06267985,freshwater metagenome
SRR5260824,PRJNA366939,SAMN06267969,freshwater metagenome
SRR5260763,PRJNA366938,SAMN06267968,freshwater metagenome
SRR5260762,PRJNA366946,SAMN06267976,freshwater metagenome
SRR5260758,PRJNA366943,SAMN06267973,freshwater metagenome
SRR5260757,PRJNA366945,SAMN06267975,freshwater metagenome
SRR5260756,PRJNA366944,SAMN06267974,freshwater metagenome
SRR5260746,PRJNA366937,SAMN06267967,freshwater metagenome
SRR5260697,PRJNA366931,SAMN06267961,freshwater metagenome
SRR5260695,PRJNA366935,SAMN06267965,freshwater metagenome
SRR5260692,PRJNA366928,SAMN06267958,freshwater metagenome
SRR5260689,PRJNA366934,SAMN06267964,freshwater metagenome
SRR5260685,PRJNA366929,SAMN06267959,freshwater metagenome
SRR5260677,PRJNA366927,SAMN06267957,freshwater metagenome
SRR5260661,PRJNA366920,SAMN06267950,freshwater metagenome
SRR5260660,PRJNA366923,SAMN06267953,freshwater metagenome
SRR5260659,PRJNA366922,SAMN06267952,freshwater metagenome
SRR5260658,PRJNA366925,SAMN06267955,freshwater metagenome
SRR5260657,PRJNA366924,SAMN06267954,freshwater metagenome
SRR5260656,PRJNA366917,SAMN06267947,freshwater metagenome
SRR5260655,PRJNA366926,SAMN06267956,freshwater metagenome
SRR5260653,PRJNA366916,SAMN06267946,freshwater metagenome
SRR5260597,PRJNA366911,SAMN06267941,freshwater metagenome
SRR5260596,PRJNA366910,SAMN06267940,freshwater metagenome
SRR5260556,PRJNA366908,SAMN06267938,freshwater metagenome
SRR5260555,PRJNA366915,SAMN06267945,freshwater metagenome
SRR5260554,PRJNA366912,SAMN06267942,freshwater metagenome
SRR5260501,PRJNA366903,SAMN06267933,freshwater metagenome
SRR5247223,PRJNA366177,SAMN06268410,freshwater metagenome
SRR5204520,PRJNA365892,SAMN06267994,freshwater metagenome
SRR5204467,PRJNA366905,SAMN06267935,freshwater metagenome
SRR5204466,PRJNA366921,SAMN06267951,freshwater metagenome
SRR5204465,PRJNA366919,SAMN06267949,freshwater metagenome
SRR5204464,PRJNA366914,SAMN06267944,freshwater metagenome
SRR5204463,PRJNA366906,SAMN06267936,freshwater metagenome
SRR5204462,PRJNA366907,SAMN06267937,freshwater metagenome
SRR5204459,PRJNA366904,SAMN06267934,freshwater metagenome
SRR5204458,PRJNA366902,SAMN06267932,freshwater metagenome
SRR5204451,PRJNA366901,SAMN06267931,freshwater metagenome
SRR4029424,PRJNA337826,SAMN05518211,freshwater metagenome
SRR4029423,PRJNA337818,SAMN05518220,freshwater metagenome
SRR4029422,PRJNA337819,SAMN05518563,freshwater metagenome
SRR4029421,PRJNA337821,SAMN05518218,freshwater metagenome
SRR4029420,PRJNA337822,SAMN05518217,freshwater metagenome
SRR4029419,PRJNA337820,SAMN05518219,freshwater metagenome
SRR4029418,PRJNA337817,SAMN05518562,freshwater metagenome
SRR4029415,PRJNA337816,SAMN05518401,freshwater metagenome
SRR4029414,PRJNA337815,SAMN05518221,freshwater metagenome
SRR4029413,PRJNA336793,SAMN05518574,freshwater metagenome
SRR4029412,PRJNA337814,SAMN05518222,freshwater metagenome
SRR4029410,PRJNA336790,SAMN05518227,freshwater metagenome
SRR4029409,PRJNA336795,SAMN05518630,freshwater metagenome
SRR4029408,PRJNA336692,SAMN05518201,freshwater metagenome
SRR4029407,PRJNA336794,SAMN05518225,freshwater metagenome
SRR4029406,PRJNA336797,SAMN05518575,freshwater metagenome
SRR4029405,PRJNA336796,SAMN05518224,freshwater metagenome
SRR4029404,PRJNA336791,SAMN05518573,freshwater metagenome
SRR4029403,PRJNA336744,SAMN05518373,freshwater metagenome
SRR4029402,PRJNA336738,SAMN05518393,freshwater metagenome
SRR4029401,PRJNA336789,SAMN05518228,freshwater metagenome
SRR4029400,PRJNA336792,SAMN05518226,freshwater metagenome
